p_id,professor,student,hasPosition,inPhase,yearsInProgram,course_id,courseLevel,p_id_dummy
3.0,0.0,1.0,0,0,0,,,
4.0,0.0,1.0,0,0,0,,,
6.0,0.0,1.0,0,Post_Quals,Year_2,,,29.0
6.0,0.0,1.0,0,Post_Quals,Year_2,,,165.0
7.0,1.0,0.0,Faculty_adj,0,0,,,
13.0,0.0,1.0,0,Post_Generals,Year_7,,,240.0
14.0,0.0,1.0,0,Post_Generals,Year_10,,,150.0
15.0,0.0,1.0,0,Post_Quals,Year_3,,,
19.0,0.0,1.0,0,Pre_Quals,Year_1,,,
20.0,0.0,1.0,0,Pre_Quals,Year_1,,,
21.0,0.0,1.0,0,Post_Generals,Year_5,,,211.0
23.0,0.0,1.0,0,0,0,,,
27.0,0.0,1.0,0,Pre_Quals,Year_1,,,
29.0,1.0,0.0,Faculty_adj,0,0,,,
31.0,0.0,1.0,0,0,0,,,
35.0,0.0,1.0,0,0,0,,,
36.0,0.0,1.0,0,0,0,,,
37.0,0.0,1.0,0,Pre_Quals,Year_1,,,79.0
38.0,0.0,1.0,0,0,0,,,
39.0,0.0,1.0,0,0,0,,,
41.0,0.0,1.0,0,Post_Quals,Year_5,,,394.0
42.0,0.0,1.0,0,Pre_Quals,Year_1,,,
45.0,0.0,1.0,0,Post_Generals,Year_5,,,211.0
45.0,0.0,1.0,0,Post_Generals,Year_5,,,415.0
51.0,0.0,1.0,0,Pre_Quals,Year_2,,,
58.0,0.0,1.0,0,0,0,,,
61.0,0.0,1.0,0,0,0,,,
62.0,0.0,1.0,0,Pre_Quals,Year_2,,,104.0
63.0,0.0,1.0,0,Post_Generals,Year_5,,,415.0
67.0,0.0,1.0,0,Post_Generals,Year_6,,,98.0
67.0,0.0,1.0,0,Post_Generals,Year_6,,,375.0
68.0,0.0,1.0,0,Post_Generals,Year_5,,,201.0
70.0,0.0,1.0,0,Pre_Quals,Year_1,,,
71.0,0.0,1.0,0,0,0,,,
73.0,0.0,1.0,0,Post_Quals,Year_4,,,
76.0,0.0,1.0,0,0,0,,,
77.0,0.0,1.0,0,0,0,,,
80.0,0.0,1.0,0,Post_Generals,Year_6,,,234.0
81.0,0.0,1.0,0,Post_Generals,Year_6,,,342.0
81.0,0.0,1.0,0,Post_Generals,Year_6,,,393.0
83.0,0.0,1.0,0,Post_Quals,Year_5,,,349.0
84.0,0.0,1.0,0,0,0,,,
85.0,0.0,1.0,0,0,0,,,
86.0,0.0,1.0,0,0,0,,,
87.0,0.0,1.0,0,0,0,,,
88.0,0.0,1.0,0,0,0,,,
89.0,0.0,1.0,0,Post_Generals,Year_5,,,104.0
90.0,0.0,1.0,0,0,0,,,
92.0,0.0,1.0,0,Post_Generals,Year_5,,,101.0
94.0,0.0,1.0,0,Pre_Quals,Year_1,,,
96.0,0.0,1.0,0,Post_Generals,Year_5,,,5.0
100.0,0.0,1.0,0,Post_Quals,Year_5,,,104.0
100.0,0.0,1.0,0,Post_Quals,Year_5,,,235.0
102.0,0.0,1.0,0,0,0,,,
105.0,0.0,1.0,0,0,0,,,
108.0,0.0,1.0,0,0,0,,,
111.0,1.0,0.0,Faculty_adj,0,0,,,
113.0,0.0,1.0,0,Post_Generals,Year_4,,,342.0
113.0,0.0,1.0,0,Post_Generals,Year_4,,,394.0
115.0,1.0,0.0,Faculty,0,0,,,
116.0,0.0,1.0,0,Pre_Quals,Year_3,,,124.0
118.0,0.0,1.0,0,Post_Generals,Year_4,,,5.0
119.0,0.0,1.0,0,0,0,,,
122.0,0.0,1.0,0,Post_Quals,Year_4,,,72.0
123.0,0.0,1.0,0,0,0,,,
125.0,0.0,1.0,0,0,0,,,
126.0,0.0,1.0,0,Post_Quals,Year_5,,,213.0
129.0,0.0,1.0,0,Post_Generals,Year_6,,,179.0
129.0,0.0,1.0,0,Post_Generals,Year_6,,,234.0
130.0,0.0,1.0,0,Post_Generals,Year_8,,,124.0
131.0,0.0,1.0,0,0,0,,,
138.0,0.0,1.0,0,0,0,,,
139.0,0.0,1.0,0,Post_Quals,Year_3,,,
140.0,0.0,1.0,0,0,0,,,
142.0,0.0,1.0,0,Post_Generals,Year_9,,,342.0
144.0,0.0,1.0,0,0,0,,,
146.0,0.0,1.0,0,0,0,,,
148.0,0.0,1.0,0,Post_Quals,Year_5,,,171.0
149.0,0.0,1.0,0,Post_Quals,Year_5,,,
154.0,0.0,1.0,0,Post_Quals,Year_4,,,124.0
154.0,0.0,1.0,0,Post_Quals,Year_4,,,235.0
155.0,0.0,1.0,0,Pre_Quals,Year_2,,,101.0
157.0,0.0,1.0,0,Post_Quals,Year_4,,,72.0
158.0,0.0,1.0,0,0,0,,,
159.0,0.0,1.0,0,Post_Quals,Year_2,,,57.0
159.0,0.0,1.0,0,Post_Quals,Year_2,,,201.0
161.0,0.0,1.0,0,Post_Generals,Year_7,,,
163.0,0.0,1.0,0,Post_Quals,Year_4,,,393.0
167.0,0.0,1.0,0,0,0,,,
172.0,0.0,1.0,0,Pre_Quals,Year_1,,,
175.0,0.0,1.0,0,Post_Generals,Year_2,,,
176.0,0.0,1.0,0,Post_Quals,Year_2,,,407.0
178.0,0.0,1.0,0,0,0,,,
182.0,0.0,1.0,0,Post_Quals,Year_3,,,
183.0,0.0,1.0,0,Pre_Quals,Year_4,,,5.0
185.0,1.0,0.0,Faculty_adj,0,0,,,
186.0,0.0,1.0,0,Pre_Quals,Year_1,,,
187.0,0.0,1.0,0,Pre_Quals,Year_1,,,
188.0,0.0,1.0,0,0,0,,,
190.0,0.0,1.0,0,0,0,,,
191.0,0.0,1.0,0,Post_Quals,Year_4,,,
193.0,0.0,1.0,0,Pre_Quals,Year_1,,,
195.0,0.0,1.0,0,0,0,,,
198.0,0.0,1.0,0,0,0,,,
200.0,0.0,1.0,0,Post_Quals,Year_4,,,72.0
203.0,0.0,1.0,0,0,0,,,
205.0,0.0,1.0,0,Pre_Quals,Year_1,,,
206.0,0.0,1.0,0,Post_Generals,Year_6,,,72.0
206.0,0.0,1.0,0,Post_Generals,Year_6,,,342.0
207.0,0.0,1.0,0,0,0,,,
208.0,0.0,1.0,0,Post_Quals,Year_4,,,319.0
212.0,0.0,1.0,0,Post_Generals,Year_7,,,180.0
214.0,0.0,1.0,0,0,0,,,
217.0,0.0,1.0,0,Post_Generals,Year_5,,,72.0
217.0,0.0,1.0,0,Post_Generals,Year_5,,,342.0
218.0,0.0,1.0,0,Post_Generals,Year_12,,,101.0
222.0,0.0,1.0,0,Pre_Quals,Year_1,,,
223.0,0.0,1.0,0,0,0,,,
226.0,0.0,1.0,0,Post_Quals,Year_4,,,324.0
228.0,0.0,1.0,0,Post_Quals,Year_3,,,342.0
228.0,0.0,1.0,0,Post_Quals,Year_3,,,393.0
228.0,0.0,1.0,0,Post_Quals,Year_3,,,394.0
230.0,0.0,1.0,0,0,0,,,
232.0,0.0,1.0,0,0,0,,,
233.0,0.0,1.0,0,Pre_Quals,Year_1,,,
237.0,0.0,1.0,0,0,0,,,
239.0,0.0,1.0,0,Post_Quals,Year_4,,,171.0
241.0,0.0,1.0,0,Post_Quals,Year_3,,,
242.0,0.0,1.0,0,Post_Generals,Year_5,,,29.0
242.0,0.0,1.0,0,Post_Generals,Year_5,,,165.0
249.0,0.0,1.0,0,Post_Generals,Year_7,,,331.0
253.0,0.0,1.0,0,Post_Generals,Year_5,,,101.0
257.0,0.0,1.0,0,Post_Generals,Year_7,,,240.0
258.0,0.0,1.0,0,0,0,,,
259.0,0.0,1.0,0,0,0,,,
261.0,0.0,1.0,0,0,0,,,
262.0,0.0,1.0,0,Post_Generals,Year_7,,,292.0
262.0,0.0,1.0,0,Post_Generals,Year_7,,,415.0
265.0,0.0,1.0,0,Post_Generals,Year_9,,,168.0
266.0,0.0,1.0,0,Post_Quals,Year_5,,,7.0
269.0,0.0,1.0,0,0,0,,,
270.0,0.0,1.0,0,Pre_Quals,Year_1,,,
271.0,0.0,1.0,0,0,0,,,
272.0,0.0,1.0,0,Post_Quals,Year_2,,,7.0
274.0,0.0,1.0,0,0,0,,,
275.0,0.0,1.0,0,Post_Generals,Year_5,,,79.0
276.0,0.0,1.0,0,Pre_Quals,Year_3,,,407.0
277.0,0.0,1.0,0,Pre_Quals,Year_1,,,
280.0,0.0,1.0,0,Pre_Quals,Year_3,,,101.0
283.0,0.0,1.0,0,Pre_Quals,Year_1,,,
284.0,0.0,1.0,0,Post_Quals,Year_3,,,
286.0,0.0,1.0,0,Post_Quals,Year_3,,,171.0
287.0,0.0,1.0,0,0,0,,,
288.0,0.0,1.0,0,Post_Generals,Year_5,,,165.0
294.0,0.0,1.0,0,0,0,,,
296.0,0.0,1.0,0,0,0,,,
299.0,0.0,1.0,0,Pre_Quals,Year_3,,,
300.0,0.0,1.0,0,Post_Generals,Year_8,,,342.0
303.0,0.0,1.0,0,Post_Quals,Year_4,,,29.0
303.0,0.0,1.0,0,Post_Quals,Year_4,,,165.0
306.0,0.0,1.0,0,0,0,,,
309.0,0.0,1.0,0,Post_Quals,Year_3,,,378.0
310.0,0.0,1.0,0,0,0,,,
311.0,0.0,1.0,0,Post_Quals,Year_3,,,
312.0,0.0,1.0,0,Pre_Quals,Year_4,,,319.0
314.0,0.0,1.0,0,Post_Generals,Year_4,,,415.0
315.0,0.0,1.0,0,0,0,,,
317.0,0.0,1.0,0,0,0,,,
318.0,0.0,1.0,0,Pre_Quals,Year_5,,,185.0
318.0,0.0,1.0,0,Pre_Quals,Year_5,,,319.0
320.0,0.0,1.0,0,Post_Quals,Year_3,,,150.0
321.0,0.0,1.0,0,0,0,,,
322.0,0.0,1.0,0,0,0,,,
325.0,0.0,1.0,0,0,0,,,
327.0,0.0,1.0,0,0,0,,,
328.0,0.0,1.0,0,0,0,,,
333.0,0.0,1.0,0,Pre_Quals,Year_2,,,
340.0,0.0,1.0,0,0,0,,,
343.0,0.0,1.0,0,Pre_Quals,Year_1,,,
347.0,0.0,1.0,0,0,0,,,
348.0,0.0,1.0,0,Post_Quals,Year_3,,,324.0
349.0,1.0,0.0,Faculty_adj,0,0,,,
350.0,0.0,1.0,0,0,0,,,
352.0,0.0,1.0,0,Post_Generals,Year_5,,,292.0
352.0,0.0,1.0,0,Post_Generals,Year_5,,,415.0
353.0,0.0,1.0,0,Post_Quals,Year_4,,,319.0
354.0,0.0,1.0,0,0,0,,,
356.0,0.0,1.0,0,0,0,,,
357.0,0.0,1.0,0,Post_Quals,Year_4,,,124.0
358.0,0.0,1.0,0,0,0,,,
361.0,0.0,1.0,0,Post_Generals,Year_6,,,
362.0,0.0,1.0,0,Post_Quals,Year_3,,,5.0
362.0,0.0,1.0,0,Post_Quals,Year_3,,,335.0
363.0,0.0,1.0,0,Pre_Quals,Year_3,,,
368.0,0.0,1.0,0,Post_Generals,Year_4,,,180.0
374.0,0.0,1.0,0,Post_Generals,Year_12,,,179.0
376.0,0.0,1.0,0,Post_Quals,Year_4,,,107.0
376.0,0.0,1.0,0,Post_Quals,Year_4,,,179.0
377.0,0.0,1.0,0,Pre_Quals,Year_1,,,
380.0,0.0,1.0,0,Post_Generals,Year_6,,,79.0
381.0,0.0,1.0,0,Post_Generals,Year_10,,,168.0
382.0,0.0,1.0,0,Post_Quals,Year_3,,,
383.0,0.0,1.0,0,Pre_Quals,Year_2,,,
384.0,0.0,1.0,0,Post_Quals,Year_3,,,240.0
384.0,0.0,1.0,0,Post_Quals,Year_3,,,407.0
390.0,0.0,1.0,0,Pre_Quals,Year_2,,,
391.0,0.0,1.0,0,Post_Quals,Year_4,,,235.0
392.0,0.0,1.0,0,0,0,,,
393.0,1.0,0.0,Faculty,0,0,,,
397.0,0.0,1.0,0,0,0,,,
398.0,0.0,1.0,0,Pre_Quals,Year_1,,,
400.0,0.0,1.0,0,0,0,,,
401.0,0.0,1.0,0,0,0,,,
402.0,0.0,1.0,0,Pre_Quals,Year_2,,,
403.0,0.0,1.0,0,Post_Generals,Year_12,,,234.0
404.0,0.0,1.0,0,Post_Generals,Year_4,,,72.0
406.0,0.0,1.0,0,Post_Generals,Year_5,,,
408.0,0.0,1.0,0,Pre_Quals,Year_2,,,
410.0,0.0,1.0,0,0,0,,,
411.0,0.0,1.0,0,Post_Generals,Year_6,,,373.0
412.0,0.0,1.0,0,Post_Quals,Year_3,,,
416.0,0.0,1.0,0,Pre_Quals,Year_1,,,
417.0,0.0,1.0,0,Pre_Quals,Year_1,,,
418.0,0.0,1.0,0,Post_Quals,Year_3,,,171.0
419.0,0.0,1.0,0,Post_Generals,Year_7,,,101.0
420.0,0.0,1.0,0,0,0,,,
422.0,0.0,1.0,0,Post_Quals,Year_3,,,
424.0,0.0,1.0,0,0,0,,,
426.0,0.0,1.0,0,Post_Quals,Year_5,,,179.0
426.0,0.0,1.0,0,Post_Quals,Year_5,,,235.0
427.0,0.0,1.0,0,Post_Quals,Year_4,,,
428.0,0.0,1.0,0,0,0,,,
429.0,0.0,1.0,0,Post_Quals,Year_5,,,335.0
431.0,0.0,1.0,0,Pre_Quals,Year_2,,,
432.0,0.0,1.0,0,Post_Quals,Year_5,,,240.0
435.0,0.0,1.0,0,Post_Quals,Year_4,,,279.0
5.0,1.0,0.0,Faculty,0,0,19.0,Level_500,
5.0,1.0,0.0,Faculty,0,0,51.0,Level_400,
5.0,1.0,0.0,Faculty,0,0,71.0,Level_500,
370.0,1.0,0.0,0,0,0,19.0,Level_500,
18.0,0.0,1.0,0,Pre_Quals,Year_3,51.0,Level_400,335.0
166.0,1.0,0.0,0,0,0,51.0,Level_400,
9.0,0.0,1.0,0,Post_Generals,Year_5,124.0,Level_300,335.0
46.0,1.0,0.0,Faculty,0,0,124.0,Level_300,
46.0,1.0,0.0,Faculty,0,0,172.0,Level_500,
335.0,1.0,0.0,Faculty,0,0,124.0,Level_300,
335.0,1.0,0.0,Faculty,0,0,172.0,Level_500,
335.0,1.0,0.0,Faculty,0,0,46.0,Level_500,
335.0,1.0,0.0,Faculty,0,0,63.0,Level_500,
335.0,1.0,0.0,Faculty,0,0,138.0,Level_500,
335.0,1.0,0.0,Faculty,0,0,146.0,Level_300,
22.0,1.0,0.0,Faculty_eme,0,0,21.0,Level_400,
99.0,0.0,1.0,0,Post_Quals,Year_2,21.0,Level_400,104.0
40.0,1.0,0.0,Faculty,0,0,0.0,Level_500,
40.0,1.0,0.0,Faculty,0,0,1.0,Level_500,
52.0,1.0,0.0,Faculty,0,0,11.0,Level_300,
52.0,1.0,0.0,Faculty,0,0,77.0,Level_500,
52.0,1.0,0.0,Faculty,0,0,121.0,Level_500,
52.0,1.0,0.0,Faculty,0,0,147.0,Level_300,
57.0,1.0,0.0,0,0,0,11.0,Level_300,
57.0,1.0,0.0,0,0,0,147.0,Level_300,
298.0,1.0,0.0,Faculty,0,0,11.0,Level_300,
298.0,1.0,0.0,Faculty,0,0,40.0,Level_500,
298.0,1.0,0.0,Faculty,0,0,66.0,Level_500,
298.0,1.0,0.0,Faculty,0,0,161.0,Level_400,
298.0,1.0,0.0,Faculty,0,0,29.0,Level_500,
324.0,1.0,0.0,Faculty,0,0,11.0,Level_300,
324.0,1.0,0.0,Faculty,0,0,77.0,Level_500,
324.0,1.0,0.0,Faculty,0,0,147.0,Level_300,
324.0,1.0,0.0,Faculty,0,0,68.0,Level_400,
324.0,1.0,0.0,Faculty,0,0,84.0,Level_500,
324.0,1.0,0.0,Faculty,0,0,97.0,Level_400,
324.0,1.0,0.0,Faculty,0,0,119.0,Level_500,
331.0,1.0,0.0,Faculty,0,0,11.0,Level_300,
331.0,1.0,0.0,Faculty,0,0,147.0,Level_300,
331.0,1.0,0.0,Faculty,0,0,27.0,Level_400,
331.0,1.0,0.0,Faculty,0,0,68.0,Level_400,
331.0,1.0,0.0,Faculty,0,0,161.0,Level_400,
331.0,1.0,0.0,Faculty,0,0,144.0,Level_500,
331.0,1.0,0.0,Faculty,0,0,91.0,Level_500,
331.0,1.0,0.0,Faculty,0,0,149.0,Level_500,
331.0,1.0,0.0,Faculty,0,0,160.0,Level_500,
165.0,1.0,0.0,Faculty,0,0,77.0,Level_500,
165.0,1.0,0.0,Faculty,0,0,147.0,Level_300,
165.0,1.0,0.0,Faculty,0,0,27.0,Level_400,
165.0,1.0,0.0,Faculty,0,0,40.0,Level_500,
165.0,1.0,0.0,Faculty,0,0,66.0,Level_500,
165.0,1.0,0.0,Faculty,0,0,104.0,Level_300,
165.0,1.0,0.0,Faculty,0,0,126.0,Level_400,
165.0,1.0,0.0,Faculty,0,0,137.0,Level_400,
201.0,1.0,0.0,Faculty,0,0,147.0,Level_300,
201.0,1.0,0.0,Faculty,0,0,68.0,Level_400,
201.0,1.0,0.0,Faculty,0,0,103.0,Level_500,
201.0,1.0,0.0,Faculty,0,0,161.0,Level_400,
364.0,1.0,0.0,0,0,0,147.0,Level_300,
364.0,1.0,0.0,0,0,0,165.0,Level_300,
364.0,1.0,0.0,0,0,0,104.0,Level_300,
64.0,1.0,0.0,0,0,0,49.0,Level_400,
189.0,1.0,0.0,Faculty_adj,0,0,49.0,Level_400,
189.0,1.0,0.0,Faculty_adj,0,0,53.0,Level_400,
248.0,1.0,0.0,0,0,0,49.0,Level_400,
248.0,1.0,0.0,0,0,0,53.0,Level_400,
263.0,0.0,1.0,0,Post_Generals,Year_6,49.0,Level_400,5.0
72.0,1.0,0.0,Faculty,0,0,13.0,Level_500,
72.0,1.0,0.0,Faculty,0,0,79.0,Level_500,
72.0,1.0,0.0,Faculty,0,0,115.0,Level_500,
72.0,1.0,0.0,Faculty,0,0,157.0,Level_400,
342.0,1.0,0.0,Faculty,0,0,13.0,Level_500,
342.0,1.0,0.0,Faculty,0,0,115.0,Level_500,
342.0,1.0,0.0,Faculty,0,0,157.0,Level_400,
342.0,1.0,0.0,Faculty,0,0,153.0,Level_500,
394.0,1.0,0.0,Faculty,0,0,157.0,Level_400,
394.0,1.0,0.0,Faculty,0,0,101.0,Level_500,
394.0,1.0,0.0,Faculty,0,0,153.0,Level_500,
394.0,1.0,0.0,Faculty,0,0,28.0,Level_400,
394.0,1.0,0.0,Faculty,0,0,67.0,Level_500,
394.0,1.0,0.0,Faculty,0,0,89.0,Level_400,
394.0,1.0,0.0,Faculty,0,0,136.0,Level_500,
394.0,1.0,0.0,Faculty,0,0,159.0,Level_400,
75.0,0.0,1.0,0,Post_Generals,Year_6,165.0,Level_300,331.0
141.0,0.0,1.0,0,Post_Generals,Year_6,165.0,Level_300,331.0
181.0,1.0,0.0,0,0,0,165.0,Level_300,
181.0,1.0,0.0,0,0,0,104.0,Level_300,
181.0,1.0,0.0,0,0,0,36.0,Level_500,
181.0,1.0,0.0,0,0,0,117.0,Level_500,
231.0,1.0,0.0,0,0,0,165.0,Level_300,
79.0,1.0,0.0,Faculty,0,0,12.0,Level_500,
79.0,1.0,0.0,Faculty,0,0,16.0,Level_500,
79.0,1.0,0.0,Faculty,0,0,24.0,Level_400,
79.0,1.0,0.0,Faculty,0,0,64.0,Level_500,
79.0,1.0,0.0,Faculty,0,0,170.0,Level_500,
211.0,1.0,0.0,Faculty,0,0,12.0,Level_500,
211.0,1.0,0.0,Faculty,0,0,24.0,Level_400,
211.0,1.0,0.0,Faculty,0,0,170.0,Level_500,
211.0,1.0,0.0,Faculty,0,0,143.0,Level_400,
407.0,1.0,0.0,Faculty,0,0,12.0,Level_500,
407.0,1.0,0.0,Faculty,0,0,24.0,Level_400,
407.0,1.0,0.0,Faculty,0,0,170.0,Level_500,
407.0,1.0,0.0,Faculty,0,0,143.0,Level_400,
407.0,1.0,0.0,Faculty,0,0,82.0,Level_400,
240.0,1.0,0.0,Faculty,0,0,16.0,Level_500,
240.0,1.0,0.0,Faculty,0,0,24.0,Level_400,
240.0,1.0,0.0,Faculty,0,0,134.0,Level_500,
240.0,1.0,0.0,Faculty,0,0,156.0,Level_500,
240.0,1.0,0.0,Faculty,0,0,158.0,Level_500,
240.0,1.0,0.0,Faculty,0,0,168.0,Level_500,
150.0,1.0,0.0,Faculty,0,0,24.0,Level_400,
150.0,1.0,0.0,Faculty,0,0,57.0,Level_400,
150.0,1.0,0.0,Faculty,0,0,123.0,Level_500,
150.0,1.0,0.0,Faculty,0,0,128.0,Level_400,
150.0,1.0,0.0,Faculty,0,0,141.0,Level_500,
82.0,1.0,0.0,Faculty,0,0,120.0,Level_500,
82.0,1.0,0.0,Faculty,0,0,151.0,Level_400,
235.0,1.0,0.0,Faculty,0,0,120.0,Level_500,
235.0,1.0,0.0,Faculty,0,0,151.0,Level_400,
235.0,1.0,0.0,Faculty,0,0,9.0,Level_500,
235.0,1.0,0.0,Faculty,0,0,88.0,Level_500,
235.0,1.0,0.0,Faculty,0,0,139.0,Level_500,
235.0,1.0,0.0,Faculty,0,0,166.0,Level_500,
179.0,1.0,0.0,Faculty,0,0,151.0,Level_400,
179.0,1.0,0.0,Faculty,0,0,23.0,Level_500,
179.0,1.0,0.0,Faculty,0,0,34.0,Level_500,
234.0,1.0,0.0,Faculty,0,0,151.0,Level_400,
267.0,1.0,0.0,0,0,0,151.0,Level_400,
267.0,1.0,0.0,0,0,0,75.0,Level_400,
267.0,1.0,0.0,0,0,0,174.0,Level_400,
290.0,1.0,0.0,Faculty,0,0,151.0,Level_400,
290.0,1.0,0.0,Faculty,0,0,18.0,Level_300,
290.0,1.0,0.0,Faculty,0,0,30.0,Level_400,
98.0,1.0,0.0,Faculty,0,0,80.0,Level_400,
98.0,1.0,0.0,Faculty,0,0,167.0,Level_500,
101.0,1.0,0.0,Faculty,0,0,80.0,Level_400,
101.0,1.0,0.0,Faculty,0,0,62.0,Level_400,
180.0,1.0,0.0,Faculty,0,0,80.0,Level_400,
180.0,1.0,0.0,Faculty,0,0,2.0,Level_500,
180.0,1.0,0.0,Faculty,0,0,20.0,Level_400,
103.0,1.0,0.0,Faculty_aff,0,0,98.0,Level_500,
104.0,1.0,0.0,Faculty,0,0,38.0,Level_400,
104.0,1.0,0.0,Faculty,0,0,74.0,Level_500,
124.0,1.0,0.0,Faculty,0,0,38.0,Level_400,
124.0,1.0,0.0,Faculty,0,0,74.0,Level_500,
124.0,1.0,0.0,Faculty,0,0,14.0,Level_500,
204.0,0.0,1.0,0,Post_Generals,Year_6,38.0,Level_400,104.0
255.0,0.0,1.0,0,Post_Generals,Year_5,38.0,Level_400,
107.0,1.0,0.0,Faculty,0,0,4.0,Level_500,
107.0,1.0,0.0,Faculty,0,0,18.0,Level_300,
107.0,1.0,0.0,Faculty,0,0,48.0,Level_400,
107.0,1.0,0.0,Faculty,0,0,61.0,Level_500,
213.0,1.0,0.0,Faculty,0,0,18.0,Level_300,
213.0,1.0,0.0,Faculty,0,0,48.0,Level_400,
213.0,1.0,0.0,Faculty,0,0,129.0,Level_500,
213.0,1.0,0.0,Faculty,0,0,162.0,Level_500,
326.0,1.0,0.0,0,0,0,18.0,Level_300,
373.0,1.0,0.0,Faculty,0,0,18.0,Level_300,
373.0,1.0,0.0,Faculty,0,0,129.0,Level_500,
375.0,1.0,0.0,Faculty_eme,0,0,18.0,Level_300,
375.0,1.0,0.0,Faculty_eme,0,0,48.0,Level_400,
375.0,1.0,0.0,Faculty_eme,0,0,116.0,Level_500,
378.0,1.0,0.0,Faculty,0,0,40.0,Level_500,
378.0,1.0,0.0,Faculty,0,0,122.0,Level_400,
168.0,1.0,0.0,Faculty,0,0,52.0,Level_400,
171.0,1.0,0.0,Faculty,0,0,44.0,Level_400,
171.0,1.0,0.0,Faculty,0,0,50.0,Level_500,
171.0,1.0,0.0,Faculty,0,0,173.0,Level_500,
293.0,1.0,0.0,Faculty_aff,0,0,44.0,Level_400,
415.0,1.0,0.0,Faculty,0,0,44.0,Level_400,
415.0,1.0,0.0,Faculty,0,0,7.0,Level_500,
415.0,1.0,0.0,Faculty,0,0,39.0,Level_500,
278.0,0.0,1.0,0,Pre_Quals,Year_2,144.0,Level_500,
279.0,1.0,0.0,Faculty,0,0,3.0,Level_500,
279.0,1.0,0.0,Faculty,0,0,101.0,Level_500,
279.0,1.0,0.0,Faculty,0,0,108.0,Level_500,
292.0,1.0,0.0,Faculty_aff,0,0,15.0,Level_500,
297.0,1.0,0.0,Faculty_eme,0,0,8.0,Level_400,
319.0,1.0,0.0,Faculty,0,0,32.0,Level_500,
319.0,1.0,0.0,Faculty,0,0,76.0,Level_500,
319.0,1.0,0.0,Faculty,0,0,132.0,Level_500,
351.0,1.0,0.0,Faculty,0,0,41.0,Level_400,
351.0,1.0,0.0,Faculty,0,0,93.0,Level_400,
351.0,1.0,0.0,Faculty,0,0,110.0,Level_400,
351.0,1.0,0.0,Faculty,0,0,118.0,Level_400,
351.0,1.0,0.0,Faculty,0,0,125.0,Level_400,
351.0,1.0,0.0,Faculty,0,0,148.0,Level_400,
351.0,1.0,0.0,Faculty,0,0,150.0,Level_500,
351.0,1.0,0.0,Faculty,0,0,164.0,Level_400,
,,,,,,5.0,Level_300,
,,,,,,45.0,Level_400,
,,,,,,107.0,Level_400,
,,,,,,154.0,Level_400,
,,,,,,35.0,Level_500,
,,,,,,54.0,Level_500,
,,,,,,56.0,Level_500,
,,,,,,65.0,Level_500,
,,,,,,83.0,Level_500,
,,,,,,85.0,Level_500,
,,,,,,86.0,Level_500,
,,,,,,87.0,Level_500,
,,,,,,109.0,Level_500,
,,,,,,114.0,Level_500,
,,,,,,131.0,Level_500,
,,,,,,135.0,Level_500,
,,,,,,152.0,Level_500,
,,,,,,155.0,Level_500,
,,,,,,169.0,Level_500,
